symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
YHOO,2017-04-28 00:00:00+00:00,48.21,48.5,48.16,48.45,4826957,48.21,48.5,48.16,48.45,4826957,0.0,1.0
YHOO,2017-05-01 00:00:00+00:00,48.61,48.78,48.12,48.22,6165419,48.61,48.78,48.12,48.22,6165419,0.0,1.0
YHOO,2017-05-02 00:00:00+00:00,49.09,49.3,48.72,48.72,5995086,49.09,49.3,48.72,48.72,5995086,0.0,1.0
YHOO,2017-05-03 00:00:00+00:00,48.54,49.19,48.17,49.19,4692004,48.54,49.19,48.17,49.19,4692004,0.0,1.0
YHOO,2017-05-04 00:00:00+00:00,48.45,48.68,48.16,48.63,6201642,48.45,48.68,48.16,48.63,6201642,0.0,1.0
YHOO,2017-05-05 00:00:00+00:00,48.49,48.66,48.27,48.45,4707173,48.49,48.66,48.27,48.45,4707173,0.0,1.0
YHOO,2017-05-08 00:00:00+00:00,48.85,48.96,48.51,48.71,8560264,48.85,48.96,48.51,48.71,8560264,0.0,1.0
YHOO,2017-05-09 00:00:00+00:00,49.49,49.67,48.94,49.14,10256686,49.49,49.67,48.94,49.14,10256686,0.0,1.0
YHOO,2017-05-10 00:00:00+00:00,49.4,49.6,49.14,49.4,8354762,49.4,49.6,49.14,49.4,8354762,0.0,1.0
YHOO,2017-05-11 00:00:00+00:00,49.69,49.71,49.14,49.45,6078183,49.69,49.71,49.14,49.45,6078183,0.0,1.0
YHOO,2017-05-12 00:00:00+00:00,49.65,49.75,49.44,49.75,6154830,49.65,49.75,49.44,49.75,6154830,0.0,1.0
YHOO,2017-05-15 00:00:00+00:00,49.86,49.94,49.48,49.71,9005493,49.86,49.94,49.48,49.71,9005493,0.0,1.0
YHOO,2017-05-16 00:00:00+00:00,50.96,51.12,50.03,50.05,18432104,50.96,51.12,50.03,50.05,18432104,0.0,1.0
YHOO,2017-05-17 00:00:00+00:00,49.65,50.7,49.445,50.7,20637403,49.65,50.7,49.445,50.7,20637403,0.0,1.0
YHOO,2017-05-18 00:00:00+00:00,49.63,50.03,47.74,48.68,13712829,49.63,50.03,47.74,48.68,13712829,0.0,1.0
YHOO,2017-05-19 00:00:00+00:00,50.18,51.23,50.01,50.03,11157858,50.18,51.23,50.01,50.03,11157858,0.0,1.0
YHOO,2017-05-22 00:00:00+00:00,50.65,51.08,50.215,50.51,9061301,50.65,51.08,50.215,50.51,9061301,0.0,1.0
YHOO,2017-05-23 00:00:00+00:00,50.31,50.9,50.26,50.66,7332584,50.31,50.9,50.26,50.66,7332584,0.0,1.0
YHOO,2017-05-24 00:00:00+00:00,50.32,50.59,49.9,50.4,11377710,50.32,50.59,49.9,50.4,11377710,0.0,1.0
YHOO,2017-05-25 00:00:00+00:00,50.6,50.75,50.05,50.48,11960271,50.6,50.75,50.05,50.48,11960271,0.0,1.0
YHOO,2017-05-26 00:00:00+00:00,50.67,50.74,50.32,50.5,6025925,50.67,50.74,50.32,50.5,6025925,0.0,1.0
YHOO,2017-05-30 00:00:00+00:00,50.56,50.94,50.5,50.67,8393010,50.56,50.94,50.5,50.67,8393010,0.0,1.0
YHOO,2017-05-31 00:00:00+00:00,50.32,50.65,49.965,50.6,8629532,50.32,50.65,49.965,50.6,8629532,0.0,1.0
YHOO,2017-06-01 00:00:00+00:00,50.65,50.7,50.07,50.49,7746219,50.65,50.7,50.07,50.49,7746219,0.0,1.0
YHOO,2017-06-02 00:00:00+00:00,50.6,50.75,50.31,50.53,9845667,50.6,50.75,50.31,50.53,9845667,0.0,1.0
YHOO,2017-06-05 00:00:00+00:00,50.6,50.88,50.4,50.52,16588787,50.6,50.88,50.4,50.52,16588787,0.0,1.0
YHOO,2017-06-06 00:00:00+00:00,50.5,50.76,50.3,50.42,27231846,50.5,50.76,50.3,50.42,27231846,0.0,1.0
YHOO,2017-06-07 00:00:00+00:00,50.55,50.72,50.28,50.47,25949237,50.55,50.72,50.28,50.47,25949237,0.0,1.0
YHOO,2017-06-08 00:00:00+00:00,55.71,55.94,53.49,55.35,63932312,55.71,55.94,53.49,55.35,63932312,0.0,1.0
YHOO,2017-06-09 00:00:00+00:00,54.02,57.39,53.66,56.155,69002668,54.02,57.39,53.66,56.155,69002668,0.0,1.0
YHOO,2017-06-12 00:00:00+00:00,53.12,54.55,52.6,53.79,57480339,53.12,54.55,52.6,53.79,57480339,0.0,1.0
YHOO,2017-06-13 00:00:00+00:00,52.0,54.08,52.0,53.65,152590970,52.0,54.08,52.0,53.65,152590970,0.0,1.0
YHOO,2017-06-14 00:00:00+00:00,52.63,54.26,52.16,52.42,65466397,52.63,54.26,52.16,52.42,65466397,0.0,1.0
YHOO,2017-06-15 00:00:00+00:00,52.58,52.76,51.645,52.17,65808136,52.58,52.76,51.645,52.17,65808136,0.0,1.0
YHOO,2017-06-16 00:00:00+00:00,52.58,53.3,51.9,52.79,251032146,52.58,53.3,51.9,52.79,251032146,0.0,1.0
YHOO,2017-06-19 00:00:00+00:00,52.58,52.58,52.58,52.58,0,52.58,52.58,52.58,52.58,0,0.0,1.0
YHOO,2017-06-20 00:00:00+00:00,52.58,52.58,52.58,52.58,0,52.58,52.58,52.58,52.58,0,0.0,1.0
YHOO,2017-06-21 00:00:00+00:00,52.58,52.58,52.58,52.58,0,52.58,52.58,52.58,52.58,0,0.0,1.0
YHOO,2017-06-22 00:00:00+00:00,52.58,52.58,52.58,52.58,0,52.58,52.58,52.58,52.58,0,0.0,1.0
YHOO,2017-06-23 00:00:00+00:00,52.58,52.58,52.58,52.58,0,52.58,52.58,52.58,52.58,0,0.0,1.0
YHOO,2017-06-26 00:00:00+00:00,52.58,52.58,52.58,52.58,0,52.58,52.58,52.58,52.58,0,0.0,1.0
